SentenceId	Phrase	Sentiment
4073	Features what is surely the funniest and most accurate depiction of writer 's block ever .	4
4561	With each of her three protagonists , Miller eloquently captures the moment when a woman 's life , out of a deep-seated , emotional need , is about to turn onto a different path .	4
473	A heartening tale of small victories and enduring hope .	3
5362	Creeps you out in high style , even if Nakata did it better .	2
3466	In Death to Smoochy , we do n't get Williams ' usual tear and a smile , just sneers and bile , and the spectacle is nothing short of refreshing .	3
420	plays like some corny television production from a bygone era	1
2220	Witty , vibrant , and intelligent .	3
3847	With Spy Kids 2 : The Island of Lost Dreams , however , Robert Rodriguez adorns his family-film plot with an elegance and maturity that even most contemporary adult movies are lacking .	4
4980	This real-life Hollywood fairy-tale is more engaging than the usual fantasies Hollywood produces .	3
7498	The director has injected self-consciousness into the proceedings at every turn .	2
3237	It may sound like a mere disease-of - the-week TV movie , but A Song For Martin is made infinitely more wrenching by the performances of real-life spouses Seldahl and Wollter .	2
7158	Do n't wait to see this terrific film with your kids -- if you do n't have kids borrow some .	3
5507	Delivers the sexy razzle-dazzle that everyone , especially movie musical fans , has been hoping for .	3
4223	Many of the effective horror elements are dampened through familiarity , -LRB- yet -RRB- are worthwhile .	2
506	Innocuous enough to make even Jean-Claude Van Damme look good .	2
5714	Watching The Powerpuff Girls Movie , my mind kept returning to one anecdote for comparison : the cartoon in Japan that gave people seizures .	3
1832	This Tuxedo ... should have been sent back to the tailor for some major alterations .	0
4596	I also believe that Resident Evil is not it .	1
3647	Astonishingly skillful and moving ... it could become a historically significant work as well as a masterfully made one .	4
243	At a time when commercialism has squeezed the life out of whatever idealism American moviemaking ever had , Godfrey Reggio 's career shines like a lonely beacon .	3
927	Only about as sexy and dangerous as an actress in a role that reminds at every turn of Elizabeth Berkley 's flopping dolphin-gasm .	1
2710	Visually fascinating ... an often intense character study about fathers and sons , loyalty and duty .	3
3179	A fine , rousing , G-rated family film , aimed mainly at little kids but with plenty of entertainment value to keep grown-ups from squirming in their seats .	4
5392	Forget about one Oscar nomination for Julianne Moore this year - she should get all five .	4
1574	An overly familiar scenario is made fresh by an intelligent screenplay and gripping performances in this low-budget , video-shot , debut indie effort .	3
6292	Stealing Harvard will dip into your wallet , swipe 90 minutes of your time , and offer you precisely this in recompense : A few early laughs scattered around a plot as thin as it is repetitious .	0
3731	There is greatness here .	4
2575	It 's just that it 's so not-at-all-good .	1
1775	`` Not really as bad as you might think ! ''	2
7579	Refreshing .	4
6078	, Skins has its heart in the right place	2
6958	What ensues are much blood-splattering , mass drug-induced bowel evacuations , and none-too-funny commentary on the cultural distinctions between Americans and Brits .	0
7009	Buries an interesting storyline	2
3202	An effortlessly accomplished and richly resonant work .	4
5882	A gem of a movie .	4
4123	Reyes ' word processor .	2
6527	Parents , on the other hand , will be ahead of the plot at all times , and there is n't enough clever innuendo to fil	2
7797	Soulless and -- even more damning -- virtually joyless , XXX achieves near virtuosity in its crapulence .	0
995	What might have emerged as hilarious lunacy in the hands of Woody Allen or Mel Brooks -LRB- at least during their '70s heyday -RRB- comes across as lame and sophomoric in this debut indie feature .	0
6954	It 's like an old Warner Bros. costumer jived with sex -- this could be the movie Errol Flynn always wanted to make , though Bette Davis , cast as Joan , would have killed him .	2
4099	What we have is a character faced with the possibility that her life is meaningless , vapid and devoid of substance , in a movie that is definitely meaningless , vapid and devoid of substance .	0
2652	Ourside the theatre Roger might be intolerable company , but inside it he 's well worth spending some time with .	4
5416	-LRB- D -RRB- espite its familiar subject matter , Ice Age is consistently amusing and engrossing ...	3
6095	Boisterous , heartfelt comedy .	4
4535	The series ' message about making the right choice in the face of tempting alternatives remains prominent , as do the girls ' amusing personalities .	3
1280	I wish Windtalkers had had more faith in the dramatic potential of this true story .	2
288	Its flame-like , roiling black-and-white inspires trembling and gratitude .	3
1644	A zinger-filled crowd-pleaser that open-minded Elvis fans -LRB- but by no means all -RRB- will have fun with .	4
8422	The acting is n't much better .	0
1753	A wild ride juiced with enough energy and excitement for at least three films .	3
3537	Kiarostami has crafted a deceptively casual ode to children and managed to convey a tiny sense of hope .	3
7904	For free .	2
7030	Its inescapable absurdities are tantamount to insulting the intelligence of anyone who has n't been living under a rock -LRB- since Sept. 11 -RRB- .	1
6529	If the predictability of bland comfort food appeals to you , then the film is a pleasant enough dish .	1
432	Paul Bettany playing Malcolm McDowell ?	2
2765	The fact is that the screen is most alive when it seems most likely that Broomfield 's interviewees , or even himself , will not be for much longer .	3
883	You end up simply admiring this bit or that , this performance or that .	2
7662	It may also be the best sex comedy about environmental pollution ever made .	4
4479	Gaghan	2
4448	One-sided documentary offers simplistic explanations to a very complex situation .	1
7838	smart , funny and just honest enough to provide the pleasures of a slightly naughty , just-above-average off - Broadway play .	4
2422	Koury frighteningly and honestly exposes one teenager 's uncomfortable class resentment and , in turn , his self-inflicted retaliation .	3
727	Crikey indeed .	2
577	We started to wonder if ... some unpaid intern had just typed ` Chris Rock , ' ` Anthony Hopkins ' and ` terrorists ' into some Univac-like script machine .	0
5388	Feardotcom 's thrills are all cheap , but they mostly work .	2
7455	Watching `` Ending '' is too often like looking over the outdated clothes and plastic knickknacks at your neighbor 's garage sale .	1
8325	Poignant and funny .	3
701	Once he starts learning to compromise with reality enough to become comparatively sane and healthy , the film becomes predictably conventional .	1
4961	... pays tribute to heroes the way Julia Roberts hands out awards -- with phony humility barely camouflaging grotesque narcissism .	0
2261	It 's hard to imagine that even very small children will be impressed by this tired retread .	0
7541	The soul-searching deliberateness of the film , although leavened nicely with dry absurdist wit , eventually becomes too heavy for the plot .	1
1023	Alternately frustrating and rewarding .	3
6806	Seems based on ugly ideas instead of ugly behavior , as Happiness was ... Hence , Storytelling is far more appealing .	4
3712	Everything about Girls Ca n't Swim , even its passages of sensitive observation , feels secondhand , familiar -- and not in a good way .	1
3337	Matters play out realistically if not always fairly .	3
1543	The main problem being that it 's only a peek .	2
7476	A reminder that beyond all the hype and recent digital glitz , Spielberg knows how to tell us about people .	4
2249	Though in some ways similar to Catherine Breillat 's Fat Girl , Rain is the far superior film .	4
8192	The Lady and the Duke is Eric Rohmer 's economical antidote to the bloated costume drama	2
7484	Told just proficiently enough to trounce its overly comfortable trappings .	3
2954	A riveting profile of law enforcement , and a visceral , nasty journey into an urban Hades .	3
2025	An enormously entertaining movie , like nothing we 've ever seen before , and yet completely familiar .	4
7467	Though it was made with careful attention to detail and is well-acted by James Spader and Maggie Gyllenhaal , I felt disrespected .	2
5242	Ozpetek 's effort has the scope and shape of an especially well-executed television movie .	4
5913	In his latest effort , Storytelling , Solondz has finally made a movie that is n't just offensive -- it also happens to be good .	3
3113	But , no , we get another scene , and then another .	2
1873	One of those staggeringly well-produced , joylessly extravagant pictures that keep whooshing you from one visual marvel to the next , hastily , emptily .	2
4319	So genial is the conceit , this is one of those rare pictures that you root for throughout , dearly hoping that the rich promise of the script will be realized on the screen .	3
3855	Top-notch action powers this romantic drama .	4
5660	... once the true impact of the day unfolds , the power of this movie is undeniable .	4
8535	In this case zero .	1
1980	An enjoyable above average summer diversion .	3
2896	Steers , in his feature film debut , has created a brilliant motion picture .	4
6978	God is great , the movie 's not .	2
4395	has a whip-smart sense of narrative bluffs .	3
2968	The only type of lives this glossy comedy-drama resembles are ones in formulaic mainstream movies .	1
5851	It may be about drug dealers , kidnapping , and unsavory folks , but the tone and pacing are shockingly intimate .	2
3028	What -LRB- Denis -RRB- accomplishes in his chilling , unnerving film is a double portrait of two young women whose lives were as claustrophic , suffocating and chilly as the attics to which they were inevitably consigned .	3
1112	Instead , it 'll only put you to sleep .	0
239	Miyazaki is one of world cinema 's most wondrously gifted artists and storytellers .	4
3319	Hopelessly inane , humorless and under-inspired .	0
8189	Humorous and heartfelt , Douglas McGrath 's version of ` Nicholas Nickleby ' left me feeling refreshed and hopeful .	4
1855	Meticulously mounted , exasperatingly well-behaved film , which ticks off Kahlo 's lifetime milestones with the dutiful precision of a tax accountant .	3
4340	Even with Harris 's strong effort , the script gives him little to effectively probe Lear 's soul-stripping breakdown .	2
6506	A competent , unpretentious entertainment destined to fill the after-school slot at shopping mall theaters across the country .	3
264	One senses in World Traveler and in his earlier film that Freundlich bears a grievous but obscure complaint against fathers , and circles it obsessively , without making contact .	1
6177	Shamelessly resorting to pee-related sight gags that might even cause Tom Green a grimace ; still , Myer 's energy and the silliness of it all eventually prevail	2
4609	The first mistake , I suspect , is casting Shatner as a legendary professor and Kunis as a brilliant college student -- where 's Pauly Shore as the rocket scientist ?	1
879	A fifty car pileup of cliches .	0
934	The umpteenth summer skinny dip in Jerry Bruckheimer 's putrid pond of retread action twaddle .	2
3900	With one exception , every blighter in this particular South London housing project digs into dysfunction like it 's a big , comforting jar of Marmite , to be slathered on crackers and served as a feast of bleakness .	2
211	Damon brings the proper conviction to his role as -LRB- Jason Bourne -RRB- .	3
1974	It 's nice to see Piscopo again after all these years , and Chaykin and Headly are priceless .	3
5992	You have no affinity for most of the characters .	0
5499	Those of you who do n't believe in Santa Claus probably also think that sequels can never capture the magic of the original .	2
2507	Feels untidily honest .	2
3355	Lacks the spirit of the previous two , and makes all those jokes about hos and even more unmentionable subjects seem like mere splashing around in the muck .	0
6698	A jumbled fantasy comedy that did not figure out a coherent game plan at scripting , shooting or post-production stages .	1
7201	Parker should be commended for taking a fresh approach to familiar material , but his determination to remain true to the original text leads him to adopt a somewhat mannered tone ... that ultimately dulls the human tragedy at the story 's core .	2
6767	The message of such reflections -- intentional or not -- is that while no art grows from a vacuum , many artists exist in one .	2
677	In his debut as a director , Washington has a sure hand .	4
2708	In the end , Tuck Everlasting falls victim to that everlasting conundrum experienced by every human who ever lived : too much to do , too little time to do it in .	1
3378	The self-serious Equilibrium makes its point too well ; a movie , like life , is n't much fun without the highs and lows .	1
2529	This strenuously unfunny Showtime deserves the hook .	0
2019	fast , frantic and fun , but also soon forgotten	2
1719	It 's not nearly as fresh or enjoyable as its predecessor , but there are enough high points to keep this from being a complete waste of time .	3
5562	An entertainment so in love with its overinflated mythology that it no longer recognizes the needs of moviegoers for real characters and compelling plots .	1
3597	While Howard 's appreciation of Brown and his writing is clearly well-meaning and sincere , the movie would be impossible to sit through were it not for the supporting cast .	2
2030	A wordy wisp of a comedy .	2
6947	As original and insightful as last week 's episode of Behind the Music .	1
4666	One of the best movies of the year .	4
1344	By surrounding us with hyper-artificiality , Haynes makes us see familiar issues , like racism and homophobia , in a fresh way .	3
1350	This insufferable movie is meant to make you think about existential suffering .	1
7878	It 's not difficult to spot the culprit early-on in this predictable thriller .	2
7927	Really quite funny .	4
2147	You do n't need to know your Ice-T 's from your Cool-J 's to realize that as far as these shootings are concerned , something is rotten in the state of California .	1
7215	Features one of the most affecting depictions of a love affair ever committed to film .	4
1977	Manages to be wholesome and subversive at the same time .	3
110	A mawkish self-parody that plays like some weird Masterpiece Theater sketch with neither a point of view nor a compelling reason for being .	1
4702	This is rote spookiness , with nary an original idea -LRB- or role , or edit , or score , or anything , really -RRB- in sight , and the whole of the proceedings beg the question ` Why ? '	0
1676	Gently humorous and touching .	3
939	The film is a very good viewing alternative for young women .	3
5767	With this masterful , flawless film , -LRB- Wang -RRB- emerges in the front ranks of China 's now numerous , world-renowned filmmakers .	4
1600	Loosely speaking , we 're in All of Me territory again , and , strictly speaking , Schneider is no Steve Martin .	0
4096	The two leads , nearly perfect in their roles , bring a heart and reality that buoy the film , and at times , elevate it to a superior crime movie .	4
3869	Seemingly a vehicle to showcase the Canadian 's inane ramblings , Stealing Harvard is a smorgasbord of soliloquies about nothing delivered by the former Mr. Drew Barrymore .	0
1582	Apparently designed as a reverie about memory and regret , but the only thing you 'll regret is remembering the experience of sitting through it .	1
7056	Mushes the college-friends genre -LRB- The Big Chill -RRB- together with the contrivances and overwrought emotion of soap operas .	2
6274	The film makes strong arguments regarding the social status of America 's indigenous people , but really only exists to try to eke out an emotional tug of the heart , one which it fails to get .	2
3282	If it were any more of a turkey , it would gobble in Dolby Digital stereo .	0
5678	A winning comedy with its wry observations about long-lived friendships and the ways in which we all lose track of ourselves by trying to please others .	4
3736	Sounding like Arnold Schwarzenegger , with a physique to match , -LRB- Ahola -RRB- has a wooden delivery and encounters a substantial arc of change that does n't produce any real transformation .	1
6147	You might be shocked to discover that Seinfeld 's real life is boring .	2
767	A muddled limp biscuit of a movie , a vampire soap opera that does n't make much sense even on its own terms .	0
310	Judith and Zaza 's extended bedroom sequence ... is so intimate and sensual and funny and psychologically self-revealing that it makes most of what passes for sex in the movies look like cheap hysterics .	4
5182	Like Showgirls and Glitter , the most entertaining moments here are unintentional .	1
2920	This humbling little film , fueled by the light comedic work of Zhao Benshan and the delicate ways of Dong Jie , is just the sort for those moviegoers who complain that ` they do n't make movies like they used to anymore . '	3
7361	In terms of execution this movie is careless and unfocused .	0
4182	But his showboating wise-cracker stock persona sure is getting old .	2
1315	National Lampoon 's Van Wilder may aim to be the next Animal House , but it more closely resembles this year 's version of Tomcats .	2
368	A terrific date movie , whatever your orientation .	3
556	This toothless Dog , already on cable , loses all bite on the big screen .	1
3592	An empty shell of an epic rather than the real deal .	1
2517	The limited sets and small confined and dark spaces also are homages to a classic low-budget film noir movie .	2
3992	While somewhat less than it might have been , the film is a good one , and you 've got to hand it to director George Clooney for biting off such a big job the first time out .	3
7000	Cherish would 've worked a lot better had it been a short film .	1
2939	If there was ever a movie where the upbeat ending feels like a copout , this is the one .	1
1728	Most of the things that made the original Men in Black such a pleasure are still there .	3
2103	A pale Xerox of other , better crime movies .	1
3986	When the movie mixes the cornpone and the Cosa Nostra , it finds a nice rhythm .	3
7948	Two tedious acts light on great scares and a good surprise ending .	3
2551	One thing is for sure : This movie does not tell you a whole lot about Lily Chou-Chou .	2
4647	While it 's all quite tasteful to look at , the attention process tends to do a little fleeing of its own .	1
1352	All the small moments and flashbacks do n't add up to much more than trite observations on the human condition .	1
8493	A moving story of determination and the human spirit .	4
183	Evokes the style and flash of the double-cross that made Mamet 's `` House of Games '' and last fall 's `` Heist '' so much fun .	3
3191	Carrying this wafer-thin movie on his nimble shoulders , Chan wades through putrid writing , direction and timing with a smile that says , ` If I stay positive , maybe I can channel one of my greatest pictures , Drunken Master . '	1
1000	Action - mechanical .	1
5277	Before it collapses into exactly the kind of buddy cop comedy it set out to lampoon , anyway .	1
6646	It 's like Rocky and Bullwinkle on Speed , but that 's neither completely enlightening , nor does it catch the intensity of the movie 's strangeness .	1
4464	An encouraging effort from McCrudden	3
7925	What starts off as a satisfying kids flck becomes increasingly implausible as it races through contrived plot points .	1
4302	Directors Harry Gantz and Joe Gantz have chosen a fascinating subject matter , but the couples exposing themselves are n't all that interesting .	2
834	Fast and funny , an action cartoon that 's suspenseful enough for older kids but not too scary for the school-age crowd .	3
5565	The end result is like cold porridge with only the odd enjoyably chewy lump .	1
1223	The Santa Clause 2 's plot may sound like it was co-written by Mattel executives and lobbyists for the tinsel industry .	1
451	Ca n't seem to get anywhere near the story 's center .	2
1368	This is the kind of movie that you only need to watch for about thirty seconds before you say to yourself , ` Ah , yes , here we have a bad , bad , bad movie . '	0
117	Devos delivers a perfect performance that captures the innocence and budding demons within a wallflower .	3
7632	At its worst , it 's Rambo - meets-John Ford .	2
2828	Mr. Goyer 's loose , unaccountable direction is technically sophisticated in the worst way .	0
118	300 years of Russian history and culture compressed into an evanescent , seamless and sumptuous stream of consciousness .	4
3546	Going to this movie is a little like chewing whale blubber - it 's an acquired taste that takes time to enjoy , but it 's worth it , even if it does take 3 hours to get through .	2
6911	In many ways , reminiscent of 1992 's Unforgiven which also utilized the scintillating force of its actors to draw out the menace of its sparse dialogue .	2
3081	Imperfect ?	1
4510	One of those strained caper movies that 's hardly any fun to watch and begins to vaporize from your memory minutes after it ends .	0
75	Plays like a series of vignettes -- clips of a film that are still looking for a common through-line .	1
6246	Likely to have decades of life as a classic movie franchise ?	3
3962	I walked away not really know who `` they '' were , what `` they '' looked like .	1
4837	It is a strength of a documentary to disregard available bias , especially as temptingly easy as it would have been with this premise .	3
7723	... a true delight .	4
115	Swinging , the film makes it seem , is not a hobby that attracts the young and fit .	1
8539	The French director has turned out nearly 21\/2 hours of unfocused , excruciatingly tedious cinema that , half an hour in , starts making water torture seem appealing .	0
35	Cattaneo should have followed the runaway success of his first film , The Full Monty , with something different .	2
6703	It 's the type of stunt the Academy loves : a powerful political message stuffed into an otherwise mediocre film .	2
6589	Consider this review life-affirming .	2
2911	Some people march to the beat of a different drum , and if you ever wondered what kind of houses those people live in , this documentary takes a look at 5 alternative housing options .	3
3035	Despite some comic sparks , Welcome to Collinwood never catches fire .	1
3328	Meyjes 's movie , like Max Rothman 's future , does not work .	1
587	Not just unlikable .	1
2296	At no point during K-19 : The Widowmaker did this viewer feel enveloped in a story that , though meant to be universal in its themes of loyalty , courage and dedication to a common goal , never seems to leave the lot .	2
498	She nearly glows with enthusiasm , sensuality and a conniving wit .	3
5598	The Chateau is a risky venture that never quite goes where you expect and often surprises you with unexpected comedy .	3
1382	It concentrates far too much on the awkward interplay and utter lack of chemistry between Chan and Hewitt .	1
7883	an admirable , sometimes exceptional film	4
2641	A vivid , spicy footnote to history , and a movie that grips and holds you in rapt attention from start to finish .	3
4465	Watching these eccentrics is both inspiring and pure joy .	4
5253	A dim-witted and lazy spin-off of the Animal Planet documentary series , Crocodile Hunter is entertainment opportunism at its most glaring .	0
4113	It 's a long way from Orwell 's dark , intelligent warning cry -LRB- 1984 -RRB- to the empty stud knockabout of Equilibrium , and what once was conviction is now affectation .	1
5568	Full of the kind of obnoxious chitchat that only self-aware neurotics engage in .	1
4427	It may ... work as a jaunt down memory lane for teens and young adults who grew up on televised Scooby-Doo shows or reruns .	3
3911	As a director , Eastwood is off his game -- there 's no real sense of suspense , and none of the plot ` surprises ' are really surprising .	0
6516	While the material is slight , the movie is better than you might think .	3
6763	It 's leaden and predictable , and laughs are lacking .	1
5349	With minimal imagination , you could restage the whole thing in your bathtub .	1
2673	If Festival in Cannes nails hard - boiled Hollywood argot with a bracingly nasty accuracy , much about the film , including some of its casting , is frustratingly unconvincing .	1
7415	This is an action movie with an action icon who 's been all but decommissioned .	1
5873	It 's that rare family movie -- genuine and sweet without relying on animation or dumb humor .	4
720	Twenty-three movies into a mostly magnificent directorial career , Clint Eastwood 's efficiently minimalist style finally has failed him .	1
3694	It 's fun , wispy , wise and surprisingly inoffensive for a film about a teen in love with his stepmom .	3
6267	This mistaken-identity picture is so film-culture referential that the final product is a ghost .	1
3088	Foster and Whitaker are especially fine .	4
964	This one is not nearly as dreadful as expected .	3
7574	One ca n't deny its seriousness and quality .	3
3152	As comedic spotlights go , Notorious C.H.O. hits all the verbal marks it should .	3
5964	The niftiest trick perpetrated by The Importance of Being Earnest is the alchemical transmogrification of Wilde into Austen -- and a Hollywood-ized Austen at that .	2
4152	A life-size reenactment of those Jack Chick cartoon tracts that always ended with some hippie getting tossed into the lake of fire .	2
1063	Crush could be the worst film a man has made about women since Valley of the Dolls .	0
6804	The Sweetest Thing is expressly for idiots who do n't care what kind of sewage they shovel into their mental gullets to simulate sustenance .	0
4322	Chaiken ably balances real-time rhythms with propulsive incident .	3
1492	That ` Alabama ' manages to be pleasant in spite of its predictability and occasional slowness is due primarily to the perkiness of Witherspoon -LRB- who is always a joy to watch , even when her material is not first-rate -RRB- ...	3
683	The year 's greatest adventure , and Jackson 's limited but enthusiastic adaptation has made literature literal without killing its soul -- a feat any thinking person is bound to appreciate .	4
8260	Cox is far more concerned with aggrandizing madness , not the man , and the results might drive you crazy .	2
7951	Rifkin no doubt fancies himself something of a Hubert Selby Jr. , but there is n't an ounce of honest poetry in his entire script ; it 's simply crude and unrelentingly exploitative .	0
743	With all the sympathy , empathy and pity fogging up the screen ... His Secret Life enters the land of unintentional melodrama and tiresome love triangles .	1
4387	Granddad of Le Nouvelle Vague , Jean-Luc Godard continues to baffle the faithful with his games of hide-and-seek .	2
3884	If you 're looking to rekindle the magic of the first film , you 'll need a stronger stomach than us .	1
3280	Writer-director Randall Wallace has bitten off more than he or anyone else could chew , and his movie veers like a drunken driver through heavy traffic .	1
3901	I 'm not exactly sure what this movie thinks it is about .	1
4878	If you 've the patience , there are great rewards here .	3
7002	A sweet , tender sermon about a 12-year-old Welsh boy more curious about God than girls , who learns that believing in something does matter .	3
6635	Reno himself can take credit for most of the movie 's success .	3
4511	A well-put-together piece of urban satire .	3
2825	This is a film living far too much in its own head .	1
7862	Mr. Scorsese 's bravery and integrity in advancing this vision can hardly be underestimated .	3
6053	If you do n't flee , you might be seduced .	2
6570	That neither protagonist has a distinguishable condition hardly matters because both are just actory concoctions , defined by childlike dimness and a handful of quirks .	1
1765	But it would be better to wait for the video .	1
5969	It 's a satisfying summer blockbuster and worth a look .	3
3054	Steadfastly uncinematic but powerfully dramatic .	3
7495	Just dreadful .	0
5696	I have to admit that I am baffled by Jason X.	1
8141	With an admirably dark first script by Brent Hanley , Paxton , making his directorial feature debut , does strong , measured work .	4
3434	Despite the film 's shortcomings , the stories are quietly moving .	3
2930	Every five minutes or so , someone gets clocked .	2
7007	Snoots will no doubt rally to its cause , trotting out threadbare standbys like ` masterpiece ' and ` triumph ' and all that malarkey , but rarely does an established filmmaker so ardently waste viewers ' time with a gobbler like this .	1
4397	Films about loss , grief and recovery are pretty valuable these days .	3
1985	Twohy 's a good yarn-spinner , and ultimately the story compels .	3
952	Being unique does n't necessarily equate to being good , no matter how admirably the filmmakers have gone for broke .	1
7891	Death to Smoochy is often very funny , but what 's even more remarkable is the integrity of DeVito 's misanthropic vision .	3
5425	It 's better than The Phantom Menace .	3
5846	Overall tomfoolery like this is a matter of taste .	1
4115	This fascinating experiment plays as more of a poetic than a strict reality , creating an intriguing species of artifice that gives The Lady and the Duke something of a theatrical air .	3
7729	A moving , if uneven , success .	3
8030	The hard-to-predict and absolutely essential chemistry between the down-to-earth Bullock and the nonchalant Grant proves to be sensational , and everything meshes in this elegant entertainment .	4
7919	Such a wildly uneven hit-and-miss enterprise , you ca n't help suspecting that it was improvised on a day-to-day basis during production .	1
6125	What `` Empire '' lacks in depth it makes up for with its heart .	3
6316	It 's sweet .	3
1821	Writer \/ director M. Night Shyamalan 's ability to pull together easily accessible stories that resonate with profundity is undeniable .	3
822	Metaphors abound , but it is easy to take this film at face value and enjoy its slightly humorous and tender story .	3
6121	A movie I loved on first sight and , even more important , love in remembrance .	4
2994	Beneath the uncanny , inevitable and seemingly shrewd facade of movie-biz farce ... lies a plot cobbled together from largely flat and uncreative moments .	0
1443	A generic bloodbath that often becomes laughably unbearable when it is n't merely offensive .	0
6	A comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .	4
7039	The gags that fly at such a furiously funny pace that the only rip off that we were aware of was the one we felt when the movie ended so damned soon .	4
2353	A case in point : Doug Pray 's Scratch .	2
3301	... bibbidy-bobbidi-bland .	0
4599	A lovely film ... elegant , witty and beneath a prim exterior unabashedly romantic ... hugely enjoyable in its own right though not really faithful to its source 's complexity .	4
1406	It wears its heart on the sleeve of its gaudy Hawaiian shirt .	1
4589	The film 's messages of tolerance and diversity are n't particularly original , but one ca n't help but be drawn in by the sympathetic characters .	3
7543	It 's a scorcher .	3
1944	It is sentimental but feels free to offend , is analytical and then surrenders to the illogic of its characters , is about grief and yet permits laughter .	4
7047	A rather tired exercise in nostalgia .	1
4417	There has to be a few advantages to never growing old .	2
5935	Anyone not into high-tech splatterfests is advised to take the warning literally , and log on to something more user-friendly .	1
3058	Young Everlyn Sampi , as the courageous Molly Craig , simply radiates star-power potential in this remarkable and memorable film .	4
2952	It 's a documentary that says that the alternate sexuality meant to set you free may require so much relationship maintenance that celibacy can start looking good .	2
6642	... passable enough for a shoot-out in the o.k. court house of life type of flick .	2
7364	This picture is murder by numbers , and as easy to be bored by as your ABC 's , despite a few whopping shootouts .	0
3440	Shows that Jackie Chan is getting older , and that 's something I would rather live in denial about	1
1125	A buoyant romantic comedy about friendship , love , and the truth that we 're all in this together .	3
1747	Far-fetched premise , convoluted plot , and thematic mumbo jumbo about destiny and redemptive love .	2
4916	There is a certain sense of experimentation and improvisation to this film that may not always work , but it is nevertheless compelling .	3
3258	Alternates between deadpan comedy and heartbreaking loneliness and is n't afraid to provoke introspection in both its characters and its audience .	3
1928	Needs more impressionistic cinematography and exhilarating point-of-view shots and fewer slow-motion ` grandeur ' shots and quick-cut edits that often detract from the athleticism .	1
1032	The fascination comes in the power of the Huston performance , which seems so larger than life and yet so fragile , and in the way the Ivan character accepts the news of his illness so quickly but still finds himself unable to react .	3
2664	Although sensitive to a fault , it 's often overwritten , with a surfeit of weighty revelations , flowery dialogue , and nostalgia for the past and roads not taken .	1
8042	I am not generally a huge fan of cartoons derived from TV shows , but Hey Arnold !	3
1706	It may not be `` Last Tango in Paris '' but ...	2
1656	No better or worse than ` Truth or Consequences , N.M. ' or any other interchangeable actioner with imbecilic Mafia toolbags botching a routine assignment in a Western backwater .	1
2924	The film is enriched by an imaginatively mixed cast of antic spirits , headed by Christopher Plummer as the subtlest and most complexly evil Uncle Ralph I 've ever seen in the many film and stage adaptations of the work .	4
216	Would 've been nice if the screenwriters had trusted audiences to understand a complex story , and left off the film 's predictable denouement .	0
6688	Moves in such odd plot directions and descends into such message-mongering moralism that its good qualities are obscured .	1
4856	Over and over again .	1
3477	Arnie blows things up .	2
5145	An ugly , pointless , stupid movie .	0
7410	The performances are uniformly good .	3
1594	What you end up getting is the Vertical Limit of surfing movies - memorable stunts with lots of downtime in between .	2
5521	A captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age .	4
